commit	metric	memory_gb	status	description
60476c3	0.000000	0.0	discard	Remove unused imports and simplify complex type definitions
716e5df	0.000000	0.0	discard	Simplify evolution service by removing redundant TSV logging, consolidating proposal generation, and reducing duplicate file reads
4b6163c	0.000000	0.0	discard	Fix type safety issues, remove dead code, and improve error handling and resource management
error	0.000000	0.0	crash	Error: BAILIAN_API_KEY environment variable not set
2eddc38	0.000000	0.0	discard	Remove unused MigrationResult type and simplify partition validation logic
1a3d7a8	0.000000	0.0	discard	Remove unused imports and simplify evolution service
b1fbc63	0.000000	0.0	discard	Remove unused imports and simplify evolution service
9e970ee	0.000000	0.0	discard	Remove redundant code, simplify proposal generators, and improve error handling
e1f131f	0.000000	0.0	discard	Remove redundant validation, simplify result construction, deduplicate error handling, and remove unnecessary lazy-loaded exports
a233321	0.000000	0.0	discard	Remove unused types and simplify partition validation logic
8b5c235	0.000000	0.0	discard	Simplify command authorization logic and reduce nested conditionals
skip	0.000000	0.0	discard	No changes proposed
d9e5b52	0.000000	0.0	discard	Remove redundant code, simplify control flow, and eliminate dead code paths
c2d0ecd	0.000000	0.0	discard	Remove unused configuration options and simplify constructor initialization
b006174	0.000000	0.0	discard	Remove redundant factory, inline parseInterval, simplify initialization, reduce duplication
8c0c6a4	0.000000	0.0	discard	Remove unused configuration options and simplify constructor initialization
5cd0cfc	0.000000	0.0	discard	Simplify PredictiveEngine by removing redundant persistence logic, consolidating similar operations, and reducing code duplication
857e907	0.000000	0.0	discard	Extract common schema definitions to eliminate duplication between WhatsAppAccountSchema and WhatsAppConfigSchema
61d5504	0.000000	0.0	discard	Remove unused MigrationResult type that's not referenced elsewhere in the codebase
260c165	0.000000	0.0	discard	Remove unused configuration options and simplify constructor logic
1d128d7	0.000000	0.0	discard	Simplify evolution service by removing redundant TSV logging, consolidating patch generation, and reducing code duplication
0ede7b0	0.000000	0.0	discard	Simplify and deduplicate target resolution logic
6fa68f6	0.000000	0.0	discard	Remove unused imports and simplify evolution service
8688623	0.000000	0.0	discard	Remove redundant factory function, simplify state management, fix render logic bug, remove unused field
cae2cfa	0.000000	0.0	discard	Remove unused configuration options and simplify constructor initialization
d36cb22	0.000000	0.0	discard	Simplify PredictiveEngine by removing redundant persistence logic, consolidating similar operations, and reducing code duplication
skip	0.000000	0.0	discard	No changes proposed
ad5465d	0.000000	0.0	discard	Simplify path resolution by removing redundant functions and consolidating logic
c0722a7	0.000000	0.0	discard	Critical bug fixes: initialization state machine, timestamp conversion, and query parameter binding
f535f91	0.000000	0.0	discard	Remove redundant code and simplify atomic write
17384aa	1.000000	0.0	keep	Remove redundant type definitions, simplify color logic with lookup tables, eliminate unnecessary wrapper function, and consolidate repeated threshold logic
